Ticker,Type,Sector,PE,ROE,MA20,MA50,RSI,ATR%,Momentum,Oversold,LowVol,Score,ExpenseRatio
MMM,Stock,Industrials,19.37,0.94,153.65,149.79,51.35,0.0252,1,0,1,2,
AOS,Stock,Industrials,17.13,0.28,67.71,66.8,59.18,0.0208,1,0,1,2,
ABBV,Stock,Healthcare,15.36,0.88,188.52,187.2,45.95,0.0238,1,0,1,2,
A,Stock,Healthcare,20.07,0.19,118.53,115.68,42.13,0.0299,1,0,1,2,
ALGN,Stock,Healthcare,18.61,0.11,193.18,186.12,50.3,0.0292,1,0,1,2,
ALLE,Stock,Industrials,19.39,0.42,147.42,143.32,61.55,0.0193,1,0,1,2,
LNT,Stock,Utilities,19.99,0.11,61.81,61.48,67.17,0.0155,1,0,1,2,
GOOGL,Stock,Communication Services,21.15,0.35,177.76,172.46,71.62,0.0221,1,0,1,2,
GOOG,Stock,Communication Services,21.29,0.35,178.69,173.61,72.05,0.0219,1,0,1,2,
AMCR,Stock,Consumer Cyclical,11.94,0.21,9.47,9.28,49.94,0.0179,1,0,1,2,
AEE,Stock,Utilities,20.22,0.1,96.26,96.25,66.82,0.0144,1,0,1,2,
AEP,Stock,Utilities,18.44,0.1,104.46,103.15,69.73,0.0147,1,0,1,2,
AXP,Stock,Financial Services,20.17,0.34,315.7,303.36,45.1,0.0221,1,0,1,2,
AMP,Stock,Financial Services,13.95,0.58,533.82,520.64,57.06,0.0179,1,0,1,2,
AME,Stock,Industrials,24.51,0.15,180.12,179.09,49.27,0.015,1,0,1,2,
AMGN,Stock,Healthcare,14.29,1.06,290.52,285.4,53.9,0.0226,1,0,1,2,
APA,Stock,Energy,6.75,0.26,19.05,18.54,46.05,0.0409,1,0,1,2,
APO,Stock,Financial Services,17.76,0.19,144.94,139.07,60.44,0.0264,1,0,1,2,
AMAT,Stock,Technology,20.03,0.36,189.76,175.61,62.93,0.0235,1,0,1,2,
APTV,Stock,Consumer Cyclical,9.83,0.15,69.75,68.24,48.3,0.0254,1,0,1,2,
ANET,Stock,Technology,11.59,0.34,103.78,97.25,70.58,0.0307,1,0,1,2,
T,Stock,Communication Services,12.27,0.11,27.84,27.73,47.14,0.0172,1,0,1,2,
AVY,Stock,Consumer Cyclical,17.11,0.32,179.9,179.19,51.22,0.0173,1,0,1,2,
BKR,Stock,Energy,15.54,0.18,39.08,38.3,56.34,0.0245,1,0,1,2,
